puzzle,solution,difficulty,id
.4....79..7..94....8.........57.6.....3...6...9......1..18...2.....1...38...2.4..,142368795576294138389571246415736982723189654698452371961843527254917863837625419,easy,e94c059b
7.....8...2.4.5....5....32......1.7...8....59........49...42..73..9.......63.....,769123845823465791154879326492581673618734259537296184981642537375918462246357918,very-easy,ed3a4842
........5...2.3.....7..1..93...8.9.2.4....53.6....7...1..7...682.........3.6.....,923874615561293784487561329315486972748129536692357841159732468276948153834615297,very-easy,9451db54
..7....32...4......825..9...4.....815..93.........2......6....8.....81....9...3.4,657189432391426875482573916943765281528931647716842593135694728274358169869217354,very-easy,7572b19c
.........9.....7.2..5..7...2...8.59...4.1.....1...36..4..5........6..1.7.3....4.8,721894365948365712365127849273486591654719283819253674487531926592648137136972458,unknown,16d4db8c
.....79.55..1.86........32..............6.75..63.9....9..4....8...5...1..2..3....,612347985539128674487659321245713896198264753763895142951476238376582419824931567,hard,c596f3fb
..3...8.....9...4.6..57...19..........6..5..7...7.2.1..42.....5.....3......85...9,593214876178936542624578391937681254216345987485792613842169735759423168361857429,medium,8afc7361
..7..9..2.....8......5.2...8....4.6...3......7.52....1.4..7......1...5.9....85.4.,137649852254718693698532714829154367413867925765293481546971238381426579972385146,unknown,77c3f24f
.73.9.....9..5......28...1..8.............541.......3.5...8.3.....4..9..63...9..5,873192456196754823452863719381546297967328541245917638529681374718435962634279185,easy,4185c434
9...7...8...2.1....8.....62.21..84.........5...4.....3.9.4...........5.66..3...8.,912576348436281795785943162521638479369724851874159623198465237243897516657312984,hard,1cf34584
.....4..9...7.........3.6..3.9.2.7.....56......1....8...8..3..1.6....5..7..4.8.9.,576284319413796852982135647359821764847569123621347985298653471164972538735418296,unknown,4a730aee
6....84.7....9...5...35....72.....5..6......3.......21....246.......1..8..15.....,653218497812497365479356182724139856165782943398645721537824619246971538981563274,very-easy,21497e3d
...7.....2.....69.....3.4...7.1..8...6.2..54.8....52....95.2.......48...3........,498726351237451698156839472572194863961283547843675219689512734715348926324967185,medium,c14add91
3..6.4..2....9....52......7.......6.....8.3....6.4..8..1......39...28...83....5..,398674152761592438524831697283715964459286371176943285617459823945328716832167549,easy,f59d489b
.3...5...2......495..4....6..6..8.3....7....5......7.....9...241...4.....6.13....,634895217218673549597421386976258431321764895845319762753986124189542673462137958,medium,58f6c04d
6.3.195.....6..2.........4.....6..7...5.7.....29.....1.....4.1.....5.9....8...3.2,643219587581647293297538146134962875865173429729485631956324718372851964418796352,very-easy,10c7460e
..8...31..2...9.........5...7.2.........83....92..14......7..6.6..8...32....94...,568427319721539648934168527875246193416983275392751486159372864647815932283694751,very-easy,440ebd58
..9...2..63.....484............289.............25.9...28...5......3...1.3..14..6.,179834256635291748428756391513628974896473125742519683281965437964387512357142869,medium,afa01629
8..3..1.....76.....2.....5.7.4........5.89.......5..6..1.........3...9.8.86.1...3,847395126351762894629148357794631582265489731138257469912873645473526918586914273,medium,253e4cc0
...4..5............37....2.6.8..1..........1.4..97......1.3.2.......69.57....968.,186492573249357168537168429678521394395684712412973856961835247824716935753249681,hard,4575f226
9.81.....6.....94..3....16......6..2...4...8...7..5.......936.7.....24....2......,958164273671328945234759168843976512529431786167285394415893627786512439392647851,unknown,b7fd76e1
.48.6.........3..1..6.....7...8........5798..1.3.........3..1.....6.8.752.7......,748165392592783461316492587975831246624579813183246759869357124431628975257914638,easy,855c75ae
.8.4........7.......9...51.1.......6....4..525.2..34.7.6...7...7...3.........18..,385412769416759328279386514148275936637948152592163487863597241721834695954621873,hard,792e52c4
...45..1...2..7.......9..8..48..1.9.....6...1.....3..26...4.5.....1....37....2...,936458217852317964471296385348521796527964831169873452613749528294185673785632149,medium,dea965cf
......86..15...9.....3....763..41.............7...9.......32..4...81..2.86.....7.,493127865715468932286395147639241758128573496574689213951732684347816529862954371,very-easy,2c0e3cc1
5....6.....4.9....8.....1.5..3..7.2..4.....9.....5.84.7..1....9.3.8...7....6.....,527316984314598267896724135983467521645281793271953846768132459139845672452679318,unknown,0d2dcefc
9.8.5.......8.3..14.....3...5.16..38.6..4.........9....8....4.7..1..2.........2..,938451672627893541415276389254167938169348725873529164382615497741932856596784213,very-easy,49afce6e
2..6...95..........9...427..2.3.....87..1..4.......1.8..4.....3...5..76.........1,248671395637259814195834276421386957873915642956427138764192583312548769589763421,very-easy,d5d9aec5
.......3.....2.9.414....6.5.31...8..4....2.1.....56........4.....37.8....9.6.....,257469138368521974149873625531947862476382519982156347815234796623798451794615283,unknown,f77da18e
....82.4.....3.....5.....6....8.7...6.......7..2.....18.....6....5.1..3..7..641.9,197682543426935718358471962519847326634129857782356491841293675965718234273564189,very-easy,1cc02e20
93...6..2.4...1.9....4............1....57.....59....4.8..1...7.2...5...1..7....3.,931786452645231897728495163472963518186574329359812746863149275294357681517628934,very-easy,4f3821e6
.21..4.....67.1...........9..7.5..92........5..4..68...5.8....6...6..4.......51..,821594367936721584745368219187453692362189745594276831453812976219637458678945123,very-easy,61d8b43a
.....83.........9..6.4......9.........59...2.3..12.7.....5.6.4.8...3.6....7...18.,421698375578312496963457218296874531715963824384125769132586947849731652657249183,very-easy,ecc3a873
.47....8.6...5.9.....1.3...8.2....5.........4.....2.7..23.81.......96......5..3..,547269183631758942298143765872934651916875234354612879723481596185396427469527318,easy,bac0d5cb
...4.8...76.....4..3.....6..9...2..74....7.......5..3...9.3...6....89..31......5.,912468375765193248834275961396842517458317692271956834529731486647589123183624759,unknown,338953de
..8...1.7...594.6...2.......3...5.9....1..4..2.5......9...3.8....3.1.....6......4,598326147371594268642871539436285791789163452215749683924637815853412976167958324,unknown,b526c630
.2..74.....8...9...7...61....58.7..9..3...4.........3.....5..4.54...12....9......,921574863658123974374986152415837629793612485862495731186259347547361298239748516,unknown,98fa0034
8.3......6..2.7.......6...8.....8..77..6....3..91..52.1.....47......4.....5...9..,873541269691287354254369718536428197712695843489173526168932475927854631345716982,medium,77d20e17
.......73...48...2.82......13.....8.......6...5729.....7..1....6.9...3.........94,465129873713485962982673145136547289294831657857296431378914526649752318521368794,medium,f8a795ef
